名称,图标,分类,内部名称,编号,Apple Store,Google Play,产品描述,下载量,平均DAU,产品pm,Apple Store链接,GooglePlay链接,发行,竞品
Podcast Player - Castbox,image.png,播客,Castbox Orange,T-002,Podcast App & Player - Castbox,Podcast Player - Castbox,一款全能播客播放器，聚合了播客、有声书与广播。它支持离线下载、跨设备同步及智能推荐，助你随时随地轻松发现并收听全球优质音频内容。,82000,894000,TBH,https://apps.apple.com/us/app/podcast-app-player-castbox/id1243410543,https://play.google.com/store/apps/details?id=fm.castbox.audiobook.radio.podcast&gl=US,Castbox.FM - Radio & Podcast & AudioBooks,"Spotify,Apple Podcasts,Google Podcasts,Pocket Casts,Podcast Addict,Overcast,小宇宙,喜马拉雅"
Podcast Player,image.png,播客,Castbox Purple,T-001,无,Podcast Player,免费全能播放器，让你轻松搜索、下载并收听全球海量播客、广播及有声书内容。,92000,215000,TBH,无,https://play.google.com/store/apps/details?id=com.podcast.podcasts&gl=US,Castbox.FM - Radio & Podcast & AudioBooks,"Spotify,Apple Podcasts,Google Podcasts,Pocket Casts,Podcast Addict,Overcast,小宇宙,喜马拉雅"
CastFox - AI Podcast Agent,image.png,播客,AI Podcast App,T-032,无,CastFox - AI Podcast Agent,这款 AI 智能播客助手，支持与节目对话、精准搜索片段及生成摘要，助你高效获取知识，实现深度聆听。,133,28000,吴充,无,https://play.google.com/store/apps/details?id=com.echocastr.ai.podcast.player.chat.podcasts&gl=IN,Castbox.FM - Radio & Podcast & AudioBooks,"Spotify,Apple Podcasts,Google Podcasts,Pocket Casts,Podcast Addict,Overcast,小宇宙,喜马拉雅"
AI Photo Enhancer - Evoke,image.png,图像,Photo Enhancer,T-019,无,AI Photo Enhancer - Evoke,Evoke 利用 AI 一键修复模糊、划痕老照片并上色。还能生成视频与趣味肖像，让珍贵记忆清晰重现。,97000,105000,吴充,无,https://play.google.com/store/apps/details?id=ai.photo.enhancer.ig.tiktok.editor.remini.pixelup.hd.free,Guru AI Lab,
Deep Think - AI Seek Chatbot,image.png,AI 搜索,AI Seek,T-028,Deep Think - AI Seek Chatbot,Deep Think - AI Seek Chatbot,聚合 GPT 5.2 与 DeepSeek 等顶尖模型，这款全能 AI 助手支持绘画、写作、算命及数学解题。,244000,118000,吴充,不活跃,https://play.google.com/store/apps/details?id=ai.chatbot.ask.chat.deep.seek.assistant.search.free,Guru AI Lab,"ChatGPT,Google Gemini"
"Walkie Talkie, Push to Talk",image.png,无匹配类别,Walkie Talkie,T-007,Walkie Talkie: Talk to Friends,"Walkie Talkie, Push to Talk",这款模拟对讲机支持一键 PTT （Push-to-talk）实时群聊。既能与好友游戏开黑，也能随机匹配陌生人，语音还能触发表情雨特效。,103000,8000,吴充,https://apps.apple.com/us/app/walkie-talkie-talk-to-friends/id1505959099,https://play.google.com/store/apps/details?id=walkie.talkie.talk,Guru AI Lab,
CastChat - Match & Voice Chat,image.png,AI Chat,Among Chat,T-010,CastChat - Voice Chat & Match,CastChat - Match & Voice Chat,CastChat 是一款游戏语音社交 App。支持一键匹配队友开黑，还能与 AI 好友及宠物聊天互动，并在语音房畅玩多人趣味小游戏。,42000,5000,袁仕崇,https://apps.apple.com/us/app/castchat-voice-chat-match/id1539641263,https://play.google.com/store/apps/details?id=walkie.talkie.among.us.friends&gl=US,Guru AI Lab,
AI Video Generator - Toki,image.png,视频,AI Video,T-025,无,AI Video Generator - Toki,利用 Gemini 3 Pro 将照片一键转视频。体验 Labubu 公仔、AI 拥抱及动态表情，轻松制作社交媒体爆款。,16000,,吴充,无,https://play.google.com/store/apps/details?id=ai.video.photo.animator.face.dance.animation&gl=US,Guru AI Lab,
AI Emojis: Face Emoji Keyboard,image.png,无匹配类别,Emoji Keyboard,T-030,无,AI Emojis: Face Emoji Keyboard,这款 AI 键盘能将自拍或文字一键生成个性表情包。无需切换应用，直接在键盘内制作并发送，让聊天更生动。,14,,吴充,无,https://play.google.com/store/apps/details?id=ai.emoji.keyboard.face.emojis.sticker.free,Guru AI Lab,
AI Image Creator - ImagineFlow,image.png,图像,AI Image Playground ,T-026,AI Image Generator ImagineFlow,AI Image Creator - ImagineFlow,搭载 Imagen 4 的免费 AI 绘画应用。输入文字，几秒内即生成超写实照片或多风格艺术画，操作简单，即时出图。,69,,吴充,不活跃,https://play.google.com/store/apps/details?id=ai.image.playground.generator.free.creator.picture.photo&gl=KR,Guru AI Lab,
CalNinja: Contador de Calorias,image.png,生活,AI Calorie,T-029,无,CalNinja: Contador de Calorias,CalNinja 利用 AI 拍照识别食物热量与营养。支持菜单扫描助你点餐，提供多维健康评分，助你科学管理身材。,0,,吴充,无,https://play.google.com/store/apps/details?id=ai.calorie.counter.food.tracker.my.fitness.free&gl=BR,Guru AI Lab,
AI Photo Retake - FaceAura,image.png,图像,AI Photo Retake,T-024,AI Photo Retake - FaceAura,AI Photo Retake - FaceAura,FaceAura 利用 AI 学习你的面部特征，实现自然重拍。一键修复表情、更换妆容与穿搭，轻松还原最美瞬间。,0,,吴充,不活跃,https://play.google.com/store/apps/details?id=ai.photo.enhancer.retake.app.free.face.editor&gl=US,Guru AI Lab,
Police Scanner: Fire Radio,image.png,播客,Police Scanner,T-004,Police Scanner: Fire Radio,Police Scanner - Live Radio,这款警用无线电扫描仪，助你实时收听全球警察、消防与天气广播，即时掌握周边突发事件、火灾警报及安全资讯。,181000,59000,袁仕崇,https://apps.apple.com/us/app/police-scanner-fire-radio/id1477440076,https://play.google.com/store/apps/details?id=police.scanner.radio.broadcastify.citizen&gl=US,Guru Network,
AI Chat Assistant: Gemind AI,image.png,AI Chat,,,AI Chat Assistant: Gemind AI,,,2000,,,https://apps.apple.com/us/app/ai-chat-assistant-gemind-ai/id6752638454,,Sophos AI,
AI Calorie Counter - CalNinja,image.png,生活,,,AI Calorie Counter - CalNinja,,,1000,,,https://apps.apple.com/us/app/ai-calorie-counter-calninja/id6745591623,,Sophos AI,
AI Video Generator: Kavi Maker,image.png,视频,,,AI Video Generator: Kavi Maker,,,199,,,https://apps.apple.com/us/app/ai-video-generator-kavi-maker/id6746191879,,Sophos AI,
