游戏名,开发者,平台,热度,展示估值,本周人气,投放天数,图片URL,视频URL
Car Jam: Traffic Puzzle,Shycheese,audience_network,996,3533246,635267,209,https://sp.dataideaglobal.com/sp_opera/3f6f194040723a67f790d2cfc1389b76.jpg,https://sp.dataideaglobal.com/sp_opera/a6e50c4c4035887e2b945c150e6d0b7a.mp4
Happy Color®: Color by Number,X-FLOW,instagram,304,2011321,354640,55,https://sp.dataideaglobal.com/sp_opera/da1cf31e5400df89ef2400ad88f9ef04.jpg,https://sp.dataideaglobal.com/sp_opera/6c0d64242a6edab6f6d30295f9c951f1.mp4
Mr Spider Hero Shooting Puzzle,NEXAR JOINT STOCK COMPANY,youtube,999,3805118,0,4,https://sp.dataideaglobal.com/sp_opera/f384b2c0e1de76da7329f144b5a14457.jpg,https://sp.dataideaglobal.com/sp_opera/b9aa139991fafed604e789a286df4d74.mp4
Block Crush!,Wonderful  Studio,instagram,122,1133908,161972,36,https://sp.dataideaglobal.com/sp_opera/d3e74987ce74186480015e853ca40376.jpg,https://sp.dataideaglobal.com/sp_opera/eaa526f7e74821906dc43d7011d9c5e0.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,169,2964038,302491,35,https://sp.dataideaglobal.com/sp_opera/8556e673424aa04bbce23bf3e6074581.jpg,https://sp.dataideaglobal.com/sp_opera/4a80095b18ffc8e090aaf27b85d97fe6.mp4
Tricky Challenge: Mini Games,KHIZER RAZA,youtube,1000,48318737,0,1,https://sp.dataideaglobal.com/sp_opera/9a9d793559d040c56b1eb98447f21cb9.jpg,https://sp.dataideaglobal.com/sp_opera/74bb13a3be7ecf951c3c9ec433a498e7.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,98,1704216,284028,20,https://sp.dataideaglobal.com/sp_opera/34c9ef025c39a217e242ec771f016c38.jpg,https://sp.dataideaglobal.com/sp_opera/caae81e08fe010a6e3789ac9e86adadd.mp4
Jigsawcard Solitaire Puzzle,Oakever Games,audience_network,72,1152492,206270,12,https://sp.dataideaglobal.com/sp_opera/c15e63eb624137791415222fd787db86.jpg,https://sp.dataideaglobal.com/sp_opera/79e83d57ef373aa778fe3cb783d15f22.mp4
Color Oasis - Color by Number,Tap Color Studio,audience_network,213,1388003,435725,43,https://sp.dataideaglobal.com/sp_opera/50c52a7ace57a54c1adf06cacf49e838.jpg,https://sp.dataideaglobal.com/sp_opera/1695234782fd47ec31ae1bbb6f76537c.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,932,1498840,0,139,https://sp.dataideaglobal.com/sp_opera/24057666c3c8684a55b05c44d3e901a9.jpg,https://sp.dataideaglobal.com/sp_opera/9800039ecffabcab48f86e67227c8aa5.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,68,595879,0,14,https://sp.dataideaglobal.com/sp_opera/86b89ea7482002cb4c2f9c1c108100ca.jpg,https://sp.dataideaglobal.com/sp_opera/9b5b4b1f9512a6c63afd70b44012ce6f.mp4
Stop 2 - Word Trivia Game,"Fanatee, Inc.",instagram,69,568670,0,10,https://sp.dataideaglobal.com/sp_opera/41292a99b92ac650f594500b0bcaca57.jpg,https://sp.dataideaglobal.com/sp_opera/ef705b432a1e0c3185367ce6c9d593f2.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,10544961,0,306,https://sp.dataideaglobal.com/sp_opera/e62586662acdaa1515221b2b381ab011.jpg,https://sp.dataideaglobal.com/sp_opera/78ebd4455a00cc9b3e2fd3cb254e1844.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,835,4428099,0,156,https://sp.dataideaglobal.com/sp_opera/226699d41ae5b802b28950a6cf609d81.jpg,https://sp.dataideaglobal.com/sp_opera/d605f7e6c0e7e96666d95d967e93a378.mp4
Car Jam - Arrows Parking games,Shycheese,audience_network,999,2565228,165511,238,https://sp.dataideaglobal.com/sp_opera/d9b24fbc8f3fc737aa33f7ba7b917af0.jpg,https://sp.dataideaglobal.com/sp_opera/a771cd04ff07db513511cd490f20c5cc.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,652724,0,306,https://sp.dataideaglobal.com/sp_opera/fccdbde51b272c59e6e30dea84726f47.jpg,https://sp.dataideaglobal.com/sp_opera/d56e3b1665be48a78dcaac01297ccbf5.mp4
Happy Screw Trip 3D,BESTPLAY GAMES PTE. LTD.,audience_network,64,2105525,0,8,https://sp.dataideaglobal.com/sp_opera/93168d11b7197165c83921690a5e9038.jpg,https://sp.dataideaglobal.com/sp_opera/3e0c707bb71a01f4f8ab660327e00edf.mp4
TopTop: Games&Chat,Social Game Lab,tiktok,151,1530709,0,6,https://sp.dataideaglobal.com/sp_opera/4cb150f7482bbe992c68c39d16157531.jpg,https://sp.dataideaglobal.com/sp_opera/992dd75dd252ffb1b1b32d1115e74ff8.mp4
Nut Color Game - Sort Puz 3D,Lumi Games,audience_network,274,1076094,97637,49,https://sp.dataideaglobal.com/sp_opera/da2038845e3efab68b75a45d6e530ee5.jpg,https://sp.dataideaglobal.com/sp_opera/74800507e338eff89f7c946b9122d7ef.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,994,7443693,0,186,https://sp.dataideaglobal.com/sp_opera/f738070461e5ddccd79a4579d05b7329.jpg,https://sp.dataideaglobal.com/sp_opera/c6d499bc80b8f48023ffdf2b50f4a1fb.mp4
Blockudoku®: Block Puzzle Game,Easybrain,audience_network,999,407091,58141,258,https://sp.dataideaglobal.com/sp_opera/758351c12aa969e15dc722c225be84a0.jpg,https://sp.dataideaglobal.com/sp_opera/2dae598a195fa64b7137796ff986f092.mp4
Stop 2 - Word Trivia Game,"Fanatee, Inc.",audience_network,362,1503903,0,59,https://sp.dataideaglobal.com/sp_opera/6d29b14ab3feb1567dd2215c3420a2bf.jpg,https://sp.dataideaglobal.com/sp_opera/a88d34e596acb610db4d1e9817299726.mp4
Domino Dreams™,SuperPlay.,audience_network,72,548685,0,11,https://sp.dataideaglobal.com/sp_opera/884c64f0c51bfbe2241b6cdf3c73e7ea.jpg,
Domino Dreams™,SuperPlay.,audience_network,72,548641,0,11,https://sp.dataideaglobal.com/sp_opera/7103a2406f9818165616d838257c0974.jpg,
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,1012531,0,306,https://sp.dataideaglobal.com/sp_opera/7f862e32848630ffa8f55dd471a5ae12.jpg,https://sp.dataideaglobal.com/sp_opera/3d9986eac248ec45b198018a298a4c4a.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,90,335596,0,23,https://sp.dataideaglobal.com/sp_opera/ffb2592d475eaef0da9a9197a69ef0d2.jpg,https://sp.dataideaglobal.com/sp_opera/71f8dd2c09940b8a7ea6fc2ab7ac7f5f.mp4
Pocket Chess,Lessmore UG (haftungsbeschränkt),audience_network,998,404727,0,230,https://sp.dataideaglobal.com/sp_opera/9c0691bde0eda517b499aceaf654e2d2.jpg,https://sp.dataideaglobal.com/sp_opera/e0ef7e2e16d718fe6b306b6d2169aa59.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,940,950849,0,140,https://sp.dataideaglobal.com/sp_opera/2cf709f42bdfdee35a8f407d327a0b36.jpg,https://sp.dataideaglobal.com/sp_opera/c2906f19c5220bc0c39b246df254b5ca.mp4
Water Match™- ASMR Water Sort,TAP GAMES,audience_network,78,460509,51282,14,https://sp.dataideaglobal.com/sp_opera/621bce5ed21943205f762db0ae8b3bda.jpg,https://sp.dataideaglobal.com/sp_opera/0a74f1ea10c19242b2a41757ad67072b.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,984,1056457,0,173,https://sp.dataideaglobal.com/sp_opera/80345e234e626730c6bd6fbaf65e96da.jpg,https://sp.dataideaglobal.com/sp_opera/acf1c4ef86767fa257f4bf29e2d188f8.mp4
Happy Color®: Color by Number,X-FLOW,instagram,699,372218,74003,96,https://sp.dataideaglobal.com/sp_opera/6af5a0fc2597d2a96240c77a8daf513e.jpg,https://sp.dataideaglobal.com/sp_opera/26d0951a54a82e7769e5ddae955df52f.mp4
Cryptogram: Word Logic Puzzles,Gismart,audience_network,652,870086,578644,92,https://sp.dataideaglobal.com/sp_opera/f3d7bbe6ce7fa157fda32014530aeb3b.jpg,https://sp.dataideaglobal.com/sp_opera/56e36c8ed144af7f8ca3643f67deb56b.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,96,406515,58156,20,https://sp.dataideaglobal.com/sp_opera/23afd6b03ea0a09f0faa260e0ded2237.jpg,https://sp.dataideaglobal.com/sp_opera/a869d40d66d337c306ea0daf47c28f9a.mp4
Color by Number：Coloring Games,Wildlife Studios,youtube,1000,285951,0,10,https://sp.dataideaglobal.com/sp_opera/5132485381cd4ba9cc89b2dac15352c8.jpg,https://sp.dataideaglobal.com/sp_opera/4300c234de1df6e7c3750f3dbf88d9cb.mp4
Hole Stars: Puzzle Game,Moon Active,audience_network,57,905425,651745,6,https://sp.dataideaglobal.com/sp_opera/eec778007e4aeed095dc91083b896c2d.jpg,https://sp.dataideaglobal.com/sp_opera/0c2765a31b18c4f80069f142dad20044.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,128,1134981,79335,27,https://sp.dataideaglobal.com/sp_opera/357554201377bde068a76989f7d905c1.jpg,https://sp.dataideaglobal.com/sp_opera/b3672509a7be0483272a93ba99778af0.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,935,534846,0,139,https://sp.dataideaglobal.com/sp_opera/b831727cdbac81beb54bd10614c73982.jpg,https://sp.dataideaglobal.com/sp_opera/49fad906f13110485ae33bb2b0672a60.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,975,799580,0,162,https://sp.dataideaglobal.com/sp_opera/0ef20dc4e109a1b57ebca900db2a51a1.jpg,https://sp.dataideaglobal.com/sp_opera/295f2d97cbf957150ca24fd14ff11f21.mp4
Color Oasis - Color by Number,Tap Color Studio,audience_network,75,238939,1638,13,https://sp.dataideaglobal.com/sp_opera/29d9967f43519a6b1424f8e9e2c72055.jpg,https://sp.dataideaglobal.com/sp_opera/29466bb4578f98db57bcb6bf5d6183c2.mp4
Hidden Object Games: Seek It,NimbleMind,instagram,96,228832,0,19,https://sp.dataideaglobal.com/sp_opera/5045fa172d5b0c71740f1f756b9b9310.jpg,
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,665,528074,0,91,https://sp.dataideaglobal.com/sp_opera/192fbc668d1314a6322c567284c0304f.jpg,https://sp.dataideaglobal.com/sp_opera/8e44da67295c71fc8ba1b3505ecfe670.mp4
Water Match™- ASMR Water Sort,TAP GAMES,audience_network,78,300125,37576,14,https://sp.dataideaglobal.com/sp_opera/0dd58ae23a454596607084104305ecdb.jpg,https://sp.dataideaglobal.com/sp_opera/65de7b25b1c9365cae23b2f310ee4831.mp4
Happy Color®: Color by Number,X-FLOW,instagram,692,298252,74003,96,https://sp.dataideaglobal.com/sp_opera/3ea27d70effce761ceb75e6a3e527d90.jpg,https://sp.dataideaglobal.com/sp_opera/c951edb45e88a976406d879ab750d00e.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,980,824361,0,168,https://sp.dataideaglobal.com/sp_opera/c80a956e0c2e7779932e87603829baf9.jpg,https://sp.dataideaglobal.com/sp_opera/962538c19f70a647d797ffaddca76502.mp4
Car Jam: Traffic Puzzle,Shycheese,audience_network,999,318388,105535,345,https://sp.dataideaglobal.com/sp_opera/0c6767a368ce07f77b405ab8b62c9418.jpg,https://sp.dataideaglobal.com/sp_opera/83313870afffa57e26c60279ad40f1e9.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,937,477588,0,140,https://sp.dataideaglobal.com/sp_opera/c9a32444efd30e0710ee2e140b29f1bd.jpg,https://sp.dataideaglobal.com/sp_opera/ad78f275143ff34b5355441384868df4.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,58,222122,12152,9,https://sp.dataideaglobal.com/sp_opera/8874c428c7b817c1d9e435a43f2f230e.jpg,https://sp.dataideaglobal.com/sp_opera/c9227545898c460da1e705982331602c.mp4
Car Jam: Traffic Puzzle,Shycheese,audience_network,995,312172,103463,209,https://sp.dataideaglobal.com/sp_opera/124a1af2cef1578399b25ca1bed1bb0a.jpg,https://sp.dataideaglobal.com/sp_opera/ae306780847c06872c2f572b5c8057ff.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,581,577798,0,82,https://sp.dataideaglobal.com/sp_opera/8705930228d545773063147148095c8d.jpg,https://sp.dataideaglobal.com/sp_opera/51ae5d676221f51ddbf00ad872a12c06.mp4
Domino Dreams™,SuperPlay.,audience_network,80,306017,0,14,https://sp.dataideaglobal.com/sp_opera/2694f481436d1308f92229f3d2e168f6.jpg,https://sp.dataideaglobal.com/sp_opera/0df66431f6f66157235cc4b4035d2a7f.mp4
Domino Dreams™,SuperPlay.,audience_network,81,305930,0,14,https://sp.dataideaglobal.com/sp_opera/bcccd88ac23ed937ea4ff9689fcd3455.jpg,https://sp.dataideaglobal.com/sp_opera/eae48c5b6d95b2b70328655a7fd588c1.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,576,476412,0,82,https://sp.dataideaglobal.com/sp_opera/99941484beaa573ec1f324a86f084fbf.jpg,https://sp.dataideaglobal.com/sp_opera/932bb81b20dd76d2ee4e7942a7f0818f.mp4
Card Factory!,Voodoo,audience_network,830,512862,0,112,https://sp.dataideaglobal.com/sp_opera/9fff70a2f23e9a6ba892ec50a5e392f3.jpg,https://sp.dataideaglobal.com/sp_opera/d72af2c3847cc9a41b0a4757dd173abc.mp4
Crossword Master - Word Puzzle,Easybrain,audience_network,119,362873,0,25,https://sp.dataideaglobal.com/sp_opera/73b06d0c60df2e43ca21e60de1dd188d.jpg,https://sp.dataideaglobal.com/sp_opera/6853ddbd6516596a592640f949b7301d.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,999,402069,0,306,https://sp.dataideaglobal.com/sp_opera/b504d7781869e7e928e5baa9fe59e87c.jpg,https://sp.dataideaglobal.com/sp_opera/f6697bc1abd7ed06045338a50c5a7a80.mp4
Sudoku Puzzle - Brain Games,Guru Smart Holding Limited,audience_network,69,176075,0,11,https://sp.dataideaglobal.com/sp_opera/2596b8e5b82c6c74a312daa20f02f9b4.jpg,
AMAZE!!!,Crazy Labs,youtube,999,184902,0,4,https://sp.dataideaglobal.com/sp_opera/ef23ca56ccc4273421e2cea98b901b00.jpg,https://sp.dataideaglobal.com/sp_opera/61629d541100b1f6249072b71f5ed757.mp4
Car Jam: Traffic Puzzle,Shycheese,audience_network,995,236180,67651,209,https://sp.dataideaglobal.com/sp_opera/0c6767a368ce07f77b405ab8b62c9418.jpg,https://sp.dataideaglobal.com/sp_opera/cffe10daeac690a1831e85b4ec262f53.mp4
Water Match™- ASMR Water Sort,TAP GAMES,audience_network,72,214837,0,12,https://sp.dataideaglobal.com/sp_opera/f68a376109450638b44c8529cd3d22d8.jpg,https://sp.dataideaglobal.com/sp_opera/5a692a96f77b90d20afb25d31aae387e.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,167079,0,354,https://sp.dataideaglobal.com/sp_opera/fdb9e0bcb7e1a9fb7f7bb6601d280fbb.jpg,https://sp.dataideaglobal.com/sp_opera/eb241621769aa0ca54f6f34cc22f1132.mp4
Beads Out,VOODOO,audience_network,196,1221784,81524,39,https://sp.dataideaglobal.com/sp_opera/eb26b377c3eeb3881365ea38a58ca05b.jpg,https://sp.dataideaglobal.com/sp_opera/1b0853f761f1f64a7da78ed5514c4fb6.mp4
Hole Stars: Puzzle Game,Moon Active,instagram,67,164166,1055,13,https://sp.dataideaglobal.com/sp_opera/5a378d428e0ace2997d826a0e17c9745.jpg,https://sp.dataideaglobal.com/sp_opera/0f89bd331624795dac94b73ec1c1d761.mp4
Cat Defenders: Shelling Snake,Mangoing Game Studio,audience_network,951,1273410,0,143,https://sp.dataideaglobal.com/sp_opera/ccfbb12a9c91e56d5081ab6adac6f25c.jpg,https://sp.dataideaglobal.com/sp_opera/5e60e5e4e6b88a2fd85ba010770bb5ca.mp4
Everyday Puzzles: Mini Games,"Fanatee, Inc.",instagram,85,157105,0,16,https://sp.dataideaglobal.com/sp_opera/7f82455cbe823635f4d4eede68c50582.jpg,https://sp.dataideaglobal.com/sp_opera/83b030ece6b35af9ddb0eeb0dbb055a5.mp4
Cryptogram: Number & Word Game,Smartronic,audience_network,107,887846,0,21,https://sp.dataideaglobal.com/sp_opera/a2b53e10436a1064c7e0ec1699940817.jpg,https://sp.dataideaglobal.com/sp_opera/3ab787a5cebfc7d0174a6db05ee1d231.mp4
Card Factory!,Voodoo,audience_network,834,350882,38827,113,https://sp.dataideaglobal.com/sp_opera/a2511d1a4c3c7a7284391ddcea8017ea.jpg,https://sp.dataideaglobal.com/sp_opera/7e5d76cb5e4c6ff7f35105cf16734660.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,936,423344,0,139,https://sp.dataideaglobal.com/sp_opera/6fa798c53f6f649354afb29070902852.jpg,https://sp.dataideaglobal.com/sp_opera/cfdaaa73ebc1e5e4d6f9c8831c13ecf7.mp4
Ball Sort - Color Puz Game,Infinite Joy Ltd.,audience_network,123,761617,76208,30,https://sp.dataideaglobal.com/sp_opera/402ca171b2c7624598088a3bf5537da1.jpg,https://sp.dataideaglobal.com/sp_opera/29564e8fb677219a93b4b2e1cefcd24f.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,998,3523615,0,222,https://sp.dataideaglobal.com/sp_opera/af0415b93058c057bf995053b48d6d39.jpg,https://sp.dataideaglobal.com/sp_opera/ec12614c055c58c604fa8576ddc06a6a.mp4
Jigsaw Solitaire: Slide Puzzle,Malpa Games,instagram,68,150068,0,11,https://sp.dataideaglobal.com/sp_opera/a0b245014840b401ac7744fb230512b8.jpg,https://sp.dataideaglobal.com/sp_opera/7e49be093d3503679ac387a325ea77bc.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,560380,0,306,https://sp.dataideaglobal.com/sp_opera/9b576e69f5f44c746d43fcc504adbf52.jpg,https://sp.dataideaglobal.com/sp_opera/974dd4bd1db7c3b300f3ae059683f1a3.mp4
Satisfying Coloring,Mad1 Games,youtube,999,179431,14294,4,https://sp.dataideaglobal.com/sp_opera/3919e81ca8eaefb0d46cbe57e5e0058c.jpg,https://sp.dataideaglobal.com/sp_opera/6d51815d651a22fe20fd4cb86eef6840.mp4
Coloring Game- Draw & color,STUDIO 08,youtube,1000,147466,0,3,https://sp.dataideaglobal.com/sp_opera/21a2121342a59c5e22c3e533a35c3c68.jpg,https://sp.dataideaglobal.com/sp_opera/1eed0c481873f81815c1f63895230274.mp4
Arrow Maze - Escape Puzzle,SayGames LTD,audience_network,445,207058,22854,69,https://sp.dataideaglobal.com/sp_opera/22f112ee2e919319f9f3839e47ba86ed.jpg,https://sp.dataideaglobal.com/sp_opera/77f093489b6721dca3fd6adf04074e52.mp4
Crossword Daily - Arrow Word,IsCool Entertainment,instagram,77,137096,0,14,https://sp.dataideaglobal.com/sp_opera/301d23b73fc1427154bf284a800ca16e.jpg,https://sp.dataideaglobal.com/sp_opera/b26c9497313b3ec9b4cc3859d62299d6.mp4
Crossword Daily - Arrow Word,IsCool Entertainment,instagram,77,137096,0,14,https://sp.dataideaglobal.com/sp_opera/247a30e8f34842e3ca9f94ed15cf8d72.jpg,https://sp.dataideaglobal.com/sp_opera/6d7dfe10d19e7a135b8fc7ab1ed65c98.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,572,134756,0,83,https://sp.dataideaglobal.com/sp_opera/fccdbde51b272c59e6e30dea84726f47.jpg,https://sp.dataideaglobal.com/sp_opera/4ce808e9745af57f23b7711d9a173516.mp4
Arrowscapes™️ - Arrows Puzzle,"Beijing Youyoutang Technology Co.,ltd.",audience_network,59,181612,47089,7,https://sp.dataideaglobal.com/sp_opera/21620eb4f9b3f514e5ed4cb0c893585f.jpg,https://sp.dataideaglobal.com/sp_opera/80ef4ee5cd810c670a2b09a1f116cc1f.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,997,1404539,0,213,https://sp.dataideaglobal.com/sp_opera/e2d4c0bd389336b37d7502015c7c818d.jpg,https://sp.dataideaglobal.com/sp_opera/b84e5664c684d68f85be10c5451252bb.mp4
Car Jam: Traffic Puzzle,Shycheese,audience_network,994,538832,53573,198,https://sp.dataideaglobal.com/sp_opera/61aa9fb60fdd7cffd742f749e54ce717.jpg,https://sp.dataideaglobal.com/sp_opera/af8179fa6f7719472ca94a01fd16553d.mp4
Ball Sort - Color Puz Game,Infinite Joy Ltd.,audience_network,107,268242,133217,23,https://sp.dataideaglobal.com/sp_opera/c931ed3c663196a7a56a05e7a7808d67.jpg,https://sp.dataideaglobal.com/sp_opera/32cff8189f91df53be3fef0a1781b05a.mp4
Arrow Maze - Escape Puzzle,SayGames LTD,audience_network,452,200610,43791,70,https://sp.dataideaglobal.com/sp_opera/b6bb3bede8b22a34be9554e7bed3472b.jpg,https://sp.dataideaglobal.com/sp_opera/42ed49ca8786e53ec06955d0604a68bf.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,985,525557,0,173,https://sp.dataideaglobal.com/sp_opera/33fd05c35ba655fea1607ddfb2e3a1ab.jpg,https://sp.dataideaglobal.com/sp_opera/bcf90f77e92075f1502c834b8fd0f7e9.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,999,229144,0,306,https://sp.dataideaglobal.com/sp_opera/bf91b583fde42f42e00e15d7b6c25868.jpg,https://sp.dataideaglobal.com/sp_opera/39dd3c4b0d5b08acdabfd087b4e8cb2e.mp4
Screw Project: ASMR Home,Casual Joy Limited,audience_network,51,127921,0,1,https://sp.dataideaglobal.com/sp_opera/2d85afc5e15724bf185218e3e8e41aa0.jpg,https://sp.dataideaglobal.com/sp_opera/b80a7a590cac2b8f03809aad91e3c26d.mp4
Screw Pin Jam Puzzle,WONDER GROUP,audience_network,616,124019,0,89,https://sp.dataideaglobal.com/sp_opera/c729e1c50552c4e72441256d6e3f6d1d.jpg,https://sp.dataideaglobal.com/sp_opera/c8c81415cc4b5ab2ae3e661801af974b.mp4
Block Crush!,Wonderful  Studio,instagram,57,240033,119338,6,https://sp.dataideaglobal.com/sp_opera/7805934b2efdb14bd39744c4835c249c.jpg,https://sp.dataideaglobal.com/sp_opera/2cb1944ea3451f5f476a0e760956e652.mp4
Sugar Rush - A Quick Adventure,Kooply,audience_network,107,712560,118478,23,https://sp.dataideaglobal.com/sp_opera/3c7f683a9cfefc282d18235262ed61bb.jpg,https://sp.dataideaglobal.com/sp_opera/c5fd68b407e3aafe95d0fdf123940576.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,940,358760,0,140,https://sp.dataideaglobal.com/sp_opera/f2605cf94c7f8060a85a4eb9e11777eb.jpg,https://sp.dataideaglobal.com/sp_opera/fe510ce7fbf62313ec94ea9cace431ad.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,998,595722,0,222,https://sp.dataideaglobal.com/sp_opera/f2b34766b5b5d4ddf47e264e897df2ba.jpg,https://sp.dataideaglobal.com/sp_opera/e45ba9e150b57a9a3615aec01aebf866.mp4
My Sticker Room - Decor Game,SayGames LTD,audience_network,71,407111,175690,12,https://sp.dataideaglobal.com/sp_opera/a57a5e38e8b7461d1867819b908e3021.jpg,https://sp.dataideaglobal.com/sp_opera/c17a6eb7fcffa5b1d6a6cb272ea40e23.mp4
Toon Blast,Peak,audience_network,235,747457,28773,44,https://sp.dataideaglobal.com/sp_opera/ccdb449eef30e35f27e7e47f739baeea.jpg,https://sp.dataideaglobal.com/sp_opera/31de06dfcbff2a83f9d0f61512346cc2.mp4
IQ Boost: Training Brain Games,"Brightika, Inc.",instagram,131,117456,0,29,https://sp.dataideaglobal.com/sp_opera/85ad78e938aff0ee81cbc518b1fb9b1e.jpg,https://sp.dataideaglobal.com/sp_opera/2110b1f308bfc2e420277bf1f5be74fc.mp4
Hidden Quest: Seek & Discover,UniccPlay,audience_network,69,167504,51199,11,https://sp.dataideaglobal.com/sp_opera/ebf34516ba98bb573ef26f840fc61850.jpg,https://sp.dataideaglobal.com/sp_opera/815dc6da4c2f569056cde0960a9813b8.mp4
Brain Test All-Star: IQ Boost,UNICO STUDIO,audience_network,985,660954,0,173,https://sp.dataideaglobal.com/sp_opera/5ef64f532a623e622e3c99508935099b.jpg,https://sp.dataideaglobal.com/sp_opera/bfcb635e018957a99bc17c2e7b18af3b.mp4
Beads Out,VOODOO,audience_network,59,227307,113718,7,https://sp.dataideaglobal.com/sp_opera/0cf74a75870daa7ca43015a947dfbc36.jpg,https://sp.dataideaglobal.com/sp_opera/50ec17a77ba0c0589a83c9e502ac98ec.mp4
Art Puzzle - Jigsaw Art Games,Easybrain,audience_network,539,111333,0,78,https://sp.dataideaglobal.com/sp_opera/af8feba5ecba027b03a4dee4ad8508fc.jpg,https://sp.dataideaglobal.com/sp_opera/c5bb589d8f95be8e90ce59e9a2559957.mp4
WordPix－Crossword Puzzle Game,HYPERCELL,audience_network,100,557112,111252,21,https://sp.dataideaglobal.com/sp_opera/a4421b40601212eb77bdb6207b6a1b76.jpg,https://sp.dataideaglobal.com/sp_opera/8044265ddfdc2ce5b1ba1530555b1875.mp4
Car Jam - Arrows Parking games,Shycheese,audience_network,823,440833,37062,110,https://sp.dataideaglobal.com/sp_opera/037143362b20c0792fcf36a474fde16e.jpg,https://sp.dataideaglobal.com/sp_opera/76945131e6f1b7e1f7823e2ba43cc17a.mp4
Water Sort Puzzle: Match Color,Topsmart Mobile Ltd.,audience_network,836,1718192,0,155,https://sp.dataideaglobal.com/sp_opera/7a8866d84f786b127804e468c9bb29ad.jpg,https://sp.dataideaglobal.com/sp_opera/161039fd7acd4d6bc3a698ad46ecafb4.mp4
